index	return	risk	AAPL	SPY	TSLA	MU	AXP	COST
15	0.02199676188664355	0.03763256855926976	0.0933989591597856	0.7167433770877457	-1.667322739257962e-20	-1.662195044065189e-19	0.12123907099280261	0.06861859275966602
16	0.0221919271546336	0.03785543563722738	0.09254602162585969	0.7059335200625814	-1.644168307937191e-20	-1.632628221374061e-19	0.1305999351859591	0.07092052312559984
17	0.022387092422623652	0.038083173576613005	0.09169308409193373	0.6951236630374169	-1.6212586923747313e-20	-1.6032679369553504e-19	0.13996079937911562	0.07322245349153374
18	0.022582257690613703	0.0383156955243494	0.09084014655800769	0.6843138060122527	-1.5980235321634095e-20	-1.573690411615265e-19	0.1493216635722719	0.07552438385746772
19	0.022777422958603757	0.03855291492000192	0.08998720902408185	0.673503948987088	-1.5753153247474584e-20	-1.5443253728768318e-19	0.15868252776542854	0.07782631422340164
20	0.02297258822659381	0.038794745592788844	0.0891342714901558	0.6626940919619237	-1.5522195224492363e-20	-1.5148023165407547e-19	0.16804339195858498	0.08012824458933554
21	0.02316775349458386	0.03904110185247793	0.08828133395622997	0.6518842349367591	-1.528901654887911e-20	-1.485213779514466e-19	0.1774042561517414	0.08243017495526955
22	0.02336291876257391	0.03929189857423469	0.0874283964223039	0.6410743779115948	-1.506035502098353e-20	-1.4558571006816512e-19	0.1867651203448978	0.08473210532120347
23	0.02355808403056396	0.03954705127751475	0.08657545888837812	0.6302645208864307	-1.483255126583734e-20	-1.42632028060076e-19	0.19612598453805402	0.08703403568713731
24	0.023753249298554012	0.03980647619911689	0.08572252135445214	0.6194546638612664	-1.4602830511921782e-20	-1.396962993798269e-19	0.20548684873121034	0.08933596605307131
25	0.023948414566544063	0.04007009036053428	0.08486958382052619	0.6086448068361016	-1.436864867320944e-20	-1.3674062602451675e-19	0.21484771292436694	0.09163789641900524
26	0.024143579834534114	0.04033781162975936	0.08401664628660015	0.5978349498109372	-1.4142852299973025e-20	-1.3380042737340266e-19	0.22420857711752343	0.09393982678493919
27	0.024338745102524165	0.04060955877771342	0.08316370875267426	0.5870250927857729	-1.3911019790250984e-20	-1.308465645123936e-19	0.23356944131067978	0.09624175715087309
28	0.024533910370514216	0.040885251529484516	0.08231077121874833	0.5762152357606087	-1.368122869609835e-20	-1.2790933787546216e-19	0.24293030550383615	0.09854368751680688
29	0.024729075638504266	0.04116481061056781	0.08145783368482241	0.5654053787354439	-1.345034572314247e-20	-1.2495391423362782e-19	0.25229116969699283	0.10084561788274082
30	0.024924240906494317	0.0414481577883102	0.0806048961508965	0.5545955217102794	-1.3220273730412629e-20	-1.2201576456933592e-19	0.2616520338901493	0.10314754824867482
31	0.02511940617448437	0.04173521590876759	0.07975195861697039	0.5437856646851156	-1.2991477098525286e-20	-1.190649901570972e-19	0.2710128980833055	0.10544947861460865
32	0.02531457144247442	0.04202590892918651	0.07889902108304454	0.5329758076599511	-1.2761920252261234e-20	-1.161284435111663e-19	0.2803737622764618	0.1077514089805426
33	0.02550973671046447	0.04232016194632478	0.07804608354911857	0.5221659506347865	-1.253085730632895e-20	-1.1317372734459158e-19	0.2897346264696184	0.11005333934647657
